Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,CASH WITHDRAWAL,Unnamed: 28,Unnamed: 29,Unnamed: 30,Settlement Systems,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card (At PoS and e-Commerce),,Debit Card (At PoS and e-Commerce),,Prepaid Payment Instruments (PPIs) Card (At PoS and e-Commerce),,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2021-06-18 00:00:00,6.37297,446679.228231058,95.13334,84439.99035213499,0.7100000000000001,17.849999999999998,968.15,18847.37,101.08,9378.02,97.42,4688.11,13.19,2088.83,56.61,90.99,16.24,297.78,20.6,20177.44,39.17546,2162.1043057999996,84.31845999999999,1477.0275898999998,3.5699300000000003,56.780403299999996,93.75,3849.41,31.42,874.3,0.04466,481427.02,0.07158,166087.84,0.00294,17750
2021-06-19 00:00:00,4.57486,126612.49798802199,63.81454,44683.106829369,0.64,16.33,923.37,16946.72,92.46,8076.8,50.730000000000004,3991.71,6.23,1079.28,56.68,90.76,15.01,266.53,17,16090.86,24.87836,898.1807902,59.89078,932.7396074999999,3.55844,49.706140500000004,86.39,3523.4,26.43,751.78,0.00098,6578.2,0,0,0,0
2021-06-20 00:00:00,0.30331,2390.863194949,14.51481,4384.24984007,0.53,12.18,861.58,12949.17,77.76,5128.47,h,h,h,h,55.11,88.43,12.03,172.53,h,h,29.72084,862.3722190000001,61.96204,880.4885520999999,3.7079000000000004,40.6813747,78.6,2866.11,20.82,541.22,h,h,h,h,h,h
2021-06-21 00:00:00,6.88567,464854.2603899689,88.97784,86115.85759622199,0.7200000000000001,18.03,967.74,19694.06,104.23,9869.31,83.57,2779.07,37.04,4201.65,56.04,84.02,17.39,339.33,22.48,19604.57,71.08125000000001,2647.2601695,119.36424,2166.3283865,4.23105,61.398936199999994,99.35,4049.25,29.51,825.19,0.04926,487115.988,0.1012,211814.12,0.00422,23666
2021-06-22 00:00:00,6.29334,489951.011807592,94.43887,79700.726628985,0.64,16.759999999999998,937.82,18529.74,104.03,9575.71,89.44,3000.45,23.23,2046.17,55.99,88.04,15.88,293.01,22.45,21325.49,38.25966,1658.8736455,82.90044,1457.3020498,3.99308,67.4995748,92.21,3729.22,27.55,781.57,0.03953,498924.417,0.094355,213832.65999999997,0.0047,24650
2021-06-23 00:00:00,6.43883,470258.623339979,100.17273,81111.685447083,0.75,19.28,886.08,16920.82,104.12,9646.56,102.43,3123.6,15.52,1591.88,58.49,91.51,15.23,303.18,22.03,22677.61,40.11336,1783.1411173,84.95084,1525.1951188,3.87902,67.6940038,94.55,3794.24,30.55,931.87,0.04324,526859.333,0.0919,206723.25,0.00307,13720
2021-06-24 00:00:00,6.13501,462755.91068100993,85.84916,74167.285499525,0.76,19.98,901.21,17171.85,106.47,9472.38,176.75,3323.3500000000004,14.82,1567.75,58.13,93.36,15.58,288.99,20.31,20200.07,39.51072,1822.5099746,83.43233000000001,1470.8190244,4.021920000000001,64.6704724,89.73,3599.23,29.77,926.18,0.03858,540108.44,0.093445,195865.03,0.00364,16470
2021-06-25 00:00:00,7.00162,467608.233772744,97.20025,104580.047038625,0.77,19.5,935.25,17648.46,104.51,9874.01,116.28999999999999,7841.31,31.06,3110.64,60.58,95.61,15.31,298.99,22.04,21296.53,42.604929999999996,1635.0991972,88.7947,1542.4991479999999,3.8773600000000004,48.717122,95.03,3825.51,29.94,897.68,0.04042,525908.583,0.09068,206745.18,0.00367,22465
2021-06-26 00:00:00,0.98335,7856.408800378999,27.49036,10709.535354213,0.73,18.839999999999996,923.18,15638.86,93.34,7912.01,h,h,h,h,61.65,97.63,13.65,219.9,h,h,23.694110000000002,773.3572418,62.69109,970.5003679,3.7358599999999997,42.3669018,87.41,3478.4,26.62,773.69,h,h,h,h,h,h
2021-06-27 00:00:00,0.28715,2189.259848655,16.86451,3969.582495961,0.52,11.94,853.53,11945.99,77.88,5223.36,h,h,h,h,60.95,96.58,11.15,153.02,h,h,34.35346,1023.9779758,65.8398,946.4048186,3.91814,39.465879199999996,74.78,2641.67,18.84,487.85,h,h,h,h,h,h
