Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2024-04-01 00:00:00,0.76502,17533.626372148003,26.92938,30073.669396476,0.36,12.649999999999999,4081.77,65707.52,240.94,25366.46,3.1100000000000003,757.02,40.38,3618.88,105.67,189.37,43.77,1031.95,h,h,26.23873,1117.5187672,39.60042000000001,2751.9941702,29.40576,761.3448917000001,12.6886,434.50022449999994,0.62972,9.603303499999999,0.7433,13.530331799999999,105.9,4687.69,25,733.97,h,h,h,h,h,h
2024-04-02 00:00:00,13.07831,1229851.0715706688,411.34372,219355.700292199,0.56,19.74,4376.71,78992.68,256.87,28349.3,74.35,10907.5,136.16,9555.44,100.27,180.58,50.6,1315.64,37.34,49858.24,69.40652,3205.9041598000003,83.21307,6489.817485,57.09751,1567.7942312999999,28.59252,1035.4499472,0.9398799999999999,21.0110789,1.35174,54.560489499999996,118.28,5630.46,34.41,999.47,0.05842,788116.0390000001,0.155675,580271.97,0.00683,42935
2024-04-03 00:00:00,10.59144,776476.2825401321,287.14959,139377.305542421,0.58,19.82,4574.56,81612.52,201.07,25701.92,111.19,4321.37,144.53,9618.54,104.42,188.02,54.21,1291.99,25.99,37015.61,29.56567,1445.3390018,37.93418,3174.7135114000002,33.01528999999999,869.3519532,15.5418,536.6100682,0.8113100000000001,20.1201912,1.13757,46.330928300000004,127.31,6251.42,36.66,1045.44,0.05604,786404.092,0.125105,381483.23,0.00482,17435
2024-04-04 00:00:00,9.81395,734530.481948045,265.4463,126111.83591072,0.56,18.25,4637.32,80339.98,202.16,25475.57,273.28,7241.780000000001,49.08,6297.6,106.04,191.76,52.36,1294.04,23.61,35779.11,36.01483,1849.1906099,47.126149999999996,3963.1251524,37.364,1046.4859889,17.18327,626.7071759,0.81014,17.914075999999998,1.54836,71.3773626,117.74,5653.52,34.87,961.44,0.06356,778661.8984095,0.086655,303460.19,0.00708,85735
2024-04-05 00:00:00,10.00607,699058.883796993,287.18951,137545.5170423,0.54,16.96,4683.52,76592.44,201.99,23931.64,189.07999999999998,5367.83,250.05,25705.53,107.5,193.24,56,1482.1,22.62,31311.3,34.40186,1718.4074954,46.279219999999995,3747.3101465,34.34693,951.9540402,16.56792,591.6383338,0.84291,19.8528936,1.39788,60.8467965,115.57,5428.63,34.68,919.54,0.06065,804176.6415409,0.126695,347608.77999999997,0.0063,46230
2024-04-06 00:00:00,8.61196,256425.143864792,338.13559,129086.363659595,0.5700000000000001,17.67,4683.34,75139.67,194.38,21805.7,147.15,4919.34,26.61,4184.22,113.85,198.15,50.43,1176.46,21.04,27737.48,32.35183,1462.8315045,32.91946,2250.283823,31.56917,870.2635776000001,11.402239999999999,369.77009879999997,1.4594500000000001,21.9619579,1.40034,66.8740376,121.73,5770.9,35.18,915.23,0.00143,12461.039999999999,0,0,0,0
