Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2023-04-01 00:00:00,0.47751,8177.648302635001,45.83493,19601.850122928,0.23,12.07,3096.22,51067.88,179.89,20763.12,11.67,969.95,20.69,2646.94,104.71,181.7,29.61,357.28,h,h,32.01638,1085.4787517,33.44285,1988.9026202999999,43.66941,967.248358,18.939760000000003,421.80274490000005,0.88107,16.8350975,0.95643,21.754111299999998,119.31,5179.9842,25.47,735.76,h,h,h,h,h,h
2023-04-02 00:00:00,0.80918,11297.020845629,91.58888,28555.664876453004,0.33,15.3,2705.9,40107.32,172.3,16419.76,117.67999999999999,3332.16,121.28,6724.54,103.28,173.18,28.8,330.6,h,h,32.745050000000006,1066.9124367,32.40711,1629.0831554,42.100559999999994,875.9306223,17.76221,362.22453609999997,1.02878,18.8264084,0.83395,16.6791166,113.79,4617.06,37.97,1065.08,h,h,h,h,h,h
2023-04-03 00:00:00,10.79028,968522.729807717,289.06545,181635.364015251,0.41000000000000003,20.53,2912.34,67174.84,188.8,23105.94,142.01,11780.929999999998,97.7,6258.1,94.64,159.3,37.88,567.45,33.51,46111.98,52.020300000000006,1945.0599912999999,50.4015,3400.0363319,67.96803,1546.5936686,35.966800000000006,811.7280003999999,1.1972099999999999,31.926603500000002,1.31318,41.166554999999995,133.03,6264.17,49.14,1492.57,0.06839,776931.6077667,0.10561,464607.26,0.00517,32165
2023-04-04 00:00:00,5.49931,116255.69958618499,165.63175,74145.656407503,0.35000000000000003,17.380000000000003,3026.27552,55131.414857592004,183.45846,21385.648366432,66.97418,2518.5145992169996,34.81867,4199.356580393,95.69,164.47,36.25604,559.0353559,11.78395,13996.013112728,25.77901,1039.3086049,32.368269999999995,2402.1308561,38.30827,864.9489735999999,18.76272,478.1825615,1.02919,25.2869708,1.37135,50.328533900000004,126.2,5952.36,46.04,1392.93,h,h,h,h,h,h
2023-04-05 00:00:00,10.72889,699734.93285655,210.45493,135007.543662724,0.38,17.849999999999998,3055.58,55523.66,184.46,22348.95,88.05,7293.32,195.45,18846.57,97.55,167.25,40.5,709.79,37.06,43513.84,40.06416,1611.8755280999999,54.44448,3978.5255525,57.56497,1329.2615028,32.50159,828.5428038,1.18224,29.850993699999997,1.5589700000000002,53.915943600000006,127.51,5899.21,42.26,1272.18,0.05636,731568.836,0.11089,348036.0800000001,0.00652,45730
2023-04-06 00:00:00,10.33304,743873.23201994,259.80597,147277.893396996,0.36,16.75,3003.71,53108.05,174.9,20768.78,51.46,4983.89,35.42,4398.79,101.3,173.47,36.36,606.84,28.86,36421.08,32.10633,1274.8463753,37.75517,2769.998586,47.11483,1042.6554399000001,23.29358,563.2794976,1.1356000000000002,26.542956999999998,1.4240899999999999,58.4175038,125.15,5737.43,37.05,1129.2,0.0682,801977.689824,0.07972,296662.01999999996,0.01016,59265
