Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2023-10-01 00:00:00,0.96625,13918.507879380999,110.72208,22103.827494842,0.24000000000000002,11.7,3713.88,55361.74,162.59,15955.31,10.86,968.79,14.55,2272.1,113.83,193.36,31.93,541.59,0,0,33.19486,1188.2480083,32.56164,2044.836377,34.76118,830.2771099999999,13.053989999999999,410.0111942,0.93762,16.4551358,0.91635,44.3446629,111.21,4642.44,27.37,742.05,h,h,h,h,h,h
2023-10-02 00:00:00,1.52069,14966.332559528,114.78935,23661.514910348,0.26,13.83,3639.63,55043.13,165.13,16331.88,1.26,261.3,139.02,7434.06,108.42,176.73,36.67,654.49,0,0,30.244429999999998,1179.5315043,32.07382,2003.4843174000002,31.976809999999997,807.7448424,12.96663,382.1392684,0.89755,16.6106276,0.65499,17.2278406,106.37,4576.88,31.74,870.78,h,h,h,h,h,h
2023-10-03 00:00:00,11.63012,1048695.472831221,351.32933,191360.74302763,0.27,13.62,3766.67,66099.28,178.17,22495.35,111.78,7600.04,123.94,8065.78,99.04,165.67,45.25,978.91,33.1,34675.26,68.34546,2764.9558880000004,76.59199000000001,5798.6098547,65.29906,1624.4938966,32.66088,988.1902503,1.06327,19.456378,0.9171499999999999,29.317482299999998,115.77,5306.09,31.58,893.52,0.07262,712556.253,0.169315,524062.70999999996,0.00595,35885
2023-10-04 00:00:00,9.65611,643474.016901037,251.60622,135953.131541087,0.3,13.82,3792.63,67532.08,177.79,21963.94,203.25,5828.65,39.8,5755.62,95.96,167.44,44.2,931.96,27.55,28624.52,31.85514,1402.6506616000001,41.100860000000004,3613.8790615,38.38235,912.6699843000001,17.70752,598.0106832,0.87513,16.270189900000002,1.07629,48.941918400000006,118.54,5390.01,32.59,896.72,0.06589,685385.8400000001,0.08542,257068.75,0.00661,43875
2023-10-05 00:00:00,9.54005,554271.699505109,241.3291,132542.270160451,0.33,14.06,3871.82,66768.83,180.46,21708.24,391.53000000000003,8234.39,214.14,22308.98,96.14,172.26,46.55,1115.94,25.86,27570.54,31.50589,1380.4118772999998,40.62504,3631.0412883999998,37.76262,904.0407630999999,17.81029,604.2501540999999,0.95157,16.2324409,1.09573,48.010431100000005,116.69,5195.59,38.07,955.71,0.07255,675012.2730788,0.100035,256650.63,0.0049,31020
2023-10-06 00:00:00,9.33846,684774.846479503,273.32626,147129.78570376898,0.35000000000000003,13.9,3784.17,60745.31,177.16,19990.57,107.36000000000001,4988.34,32.1,3968.97,98.22,177.4,41.29,934.61,24.27,26357.23,32.49434,1391.4237018,41.35068,3242.0350463,38.25475,903.8179844000001,18.36448,584.5797675,0.9435,16.0752118,1.02658,41.1036367,114.26,4999.09,37.85,930.69,0.06728,664512.811,0.10739,342018.16000000003,0.00657,34620
