Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2022-05-01 00:00:00,0.59118,5355.533524161,53.52462,11249.148750948,0.38,15.7,2053.98,35380.47,171.66,14317.19,3.0700000000000003,375.42999999999995,15.63,1849.37,91.75,146.41,21.39,242.53,h,h,26.84863,869.5791272000001,30.348979999999997,1778.7857647,54.67557,1147.5334185000002,26.965490000000003,451.4534036,3.21677,74.76898449999999,5.805180000000001,196.19400810000002,121.42,5224.39,30.58,887.69,h,h,h,h,h,h
2022-05-02 00:00:00,8.30568,592932.7057648051,231.01423,136758.7196994,0.45999999999999996,19.580000000000002,2082.15,43127.73,193.31,20060.1,39.06,5027.93,118.47,6573.1,84.23,127.55,26.45,402.58,23.63,23988.55,50.017250000000004,1745.1197889999999,45.36627,2847.5988042999998,95.97412,2071.7183044000003,51.350750000000005,919.7951691999999,3.30398,81.7381845,5.46633,178.6156229,134.62,6226.45,39.11,1173.76,0.0633,626410.433,0.111425,314851.77,0.00262,12445
2022-05-03 00:00:00,1.57542,25788.162883803,77.30138,23837.70315407,0.38,15.41,1861.51,32528.65,154.42,14017.09,92.17,1859.03,38.66,2617.97,82.77,124.44,23.01,304.91,h,h,24.48833,1141.5894834,23.31065,1506.4388701,53.70414,1704.8809638,24.909499999999998,435.9838259,3.03018,85.3233425,5.32309,170.847458,109.52,4755.79,28.58,836.17,h,h,h,h,h,h
2022-05-04 00:00:00,9.48725,510722.98152754694,166.95437,115457.55921261599,0.42000000000000004,17.12,1944.96,39142.74,167.72,18445.18,104.53,4081.81,25.18,3324.9,86.6,128.67,28.68,428.64,35.85,35195.69,37.486999999999995,1505.1497908000001,37.11532,2814.3255637,77.09227,1833.4517423,41.2281,749.3107625,2.99226,74.1603613,5.66013,190.99393949999998,114.86,5144.46,35.91,1071.27,0.0506,603222.325,0.10638,309548.93,0.0058,33740
2022-05-05 00:00:00,8.29324,526830.029896361,156.54539,110916.618338604,0.43,17.169999999999998,1995.45,40116.7,170.4,18241.82,75.32,3674.93,143.1,14343.79,86.92,135.06,28.81,494.83,28.98,29858.37,27.54625,1008.5616341,29.610500000000002,2452.1138597000004,61.65495000000001,1272.2130162,34.11781,637.2985306,2.90931,73.7073065,6.0432500000000005,220.9972391,118.81,5323.66,35.31,1037.78,0.07035,654590.4639999999,0.0859,257598.48,0.00792,58275
2022-05-06 00:00:00,8.43247,547324.3596557091,166.55291,124375.908748201,0.44,17.43,1972.09,38218.9,166.66,17603.61,314.97,6017.83,36.12,3341.87,90.54,141.62,28.27,449.05,25.31,26621.58,28.21245,1017.4510368000001,29.588929999999998,2052.8684181,62.17834,1259.3317998,34.021209999999996,609.3639519999999,3.0595200000000005,67.6314281,5.62073,160.9005823,118.61,5241.5,36.42,1064.79,0.05986,629236.273,0.10634,300738.9799999999,0.00573,42160
