Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,CASH WITHDRAWAL,Unnamed: 28,Unnamed: 29,Unnamed: 30,Settlement Systems,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card (At PoS and e-Commerce),,Debit Card (At PoS and e-Commerce),,Prepaid Payment Instruments (PPIs) Card (At PoS and e-Commerce),,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2021-05-01 00:00:00,1.5833,40700.788350473005,115.19277,41589.954987088,0.41000000000000003,13.44,862.39,18140.21,104.8,10646.35,91.58,4143.45,16.81,2210.33,43.1,82.51,9.98,133.25,5.15,4516.94,27.43934,1065.1798516000001,64.61078,1071.3187541,5.38213,277.329914,89.03,4106.42,21.2,691.22,h,h,h,h,h,h
2021-05-02 00:00:00,0.26654,2219.488008934,27.26438,4687.676865503,0.28,8.24,793.73,13692.47,78.41,6749.53,h,h,h,h,33.78,68.51,8.24,97.96,h,h,22.183130000000002,768.6040499,50.835499999999996,729.5263871,3.5862999999999996,177.89409320000001,61.7,2619.78,15.25,455.6,h,h,h,h,h,h
2021-05-03 00:00:00,5.98835,416529.338490577,173.28729,86615.146600228,0.43999999999999995,13.77,877.17,20191.07,116.63,12312.89,85.24,5952.76,107.6,5940.28,40.41,69.32,13.03,190.17,19.96,18619.37,56.52178,2314.8168723,112.01435000000001,2083.5562349,5.53561,268.8407826,104.16,4880.49,23.66,759.92,0.05766,529042.095,0.07461,298271.57000000007,0.00233,11940
2021-05-04 00:00:00,5.49653,378147.68697311403,137.53768,75226.76623998,0.49,15.37,893.11,20005.02,114.35,11591.18,84.66,4101.24,42.22,4375.56,41.97,74.04,13.25,190.01,19.58,17731.64,28.84545,1348.7673943,74.83375,1363.9075047000001,6.52975,356.2263902,101.84,4779.31,25.77,834.92,0.04118,528706.695,0.067565,250682.41,0.00203,12895
2021-05-05 00:00:00,5.30908,389557.55194597197,145.2056,83145.77684570401,0.49,15.15,877.04,19438.15,110.74,11266.32,54.06,6183.370000000001,98.38,11106.68,42.64,76.41,13.85,225.66,18.27,16182.62,36.016890000000004,1548.6563836999999,76.23467000000001,1399.8583511000002,5.3356699999999995,328.4354751,97.78,4523.52,23.78,766.24,0.04034,508111.292,0.05548,227163.03000000003,0.00223,13980
2021-05-06 00:00:00,5.17325,425737.549027492,133.81414,88975.660400109,0.5,15.11,853.5,18425.68,103.69,10467.42,93.36,3881.6499999999996,25.21,2843.76,42,76.06,13.68,200.85,17.43,15635.55,32.43818,1494.8151318,72.27528000000001,1282.2939425,6.303039999999999,312.9401547,92.86,4322.57,25.14,798.3,0.05619,519761.06700000004,0.05977,209648.08,0.00348,23510
2021-05-07 00:00:00,5.62024,376375.78536130104,151.44055,93337.431657175,0.49,14.77,863.12,18247.77,105.68,10408.47,56.75,4649.05,63.84,4975.38,42.3,75.9,13.03,198.4,17.32,15621.07,34.38306,1412.2921313,74.51936,1297.8709896,6.327590000000001,268.01794500000005,100.96,4668.8,24.64,776.85,0.05084,514946.606,0.05901,197649.69999999998,0.00332,17640
2021-05-08 00:00:00,0.81158,6651.052045268,32.24988,10075.072123071,0.44999999999999996,13.82,834.5,16365.41,92.99,8612.39,h,h,h,h,43.18,75.96,11.78,165.51,h,h,20.02406,665.6604728,54.934740000000005,890.3082830000001,5.2511600000000005,291.4778776,98.15,4458.74,22.31,697.17,h,h,h,h,h,h
2021-05-09 00:00:00,0.26507,2143.048407545,19.56444,4200.496833001999,0.30000000000000004,8.71,794.03,13425.59,80.24,6277.19,h,h,h,h,41.52,73.56,10.43,127.06,h,h,24.238650000000003,770.8293199,57.72633,906.0431732,4.13859,206.97735690000002,77.87,3191.78,15.52,455.82,h,h,h,h,h,h
2021-05-10 00:00:00,6.69335,464772.231442175,148.92731,97599.550707214,0.49,14.79,849.17,18772.21,99.05,10295.57,200.2,1213.8600000000001,111,1090.81,35.24,65.08,14.92,261.73,22.43,18679.23,53.02684,2052.8604881,102.19521999999999,1846.5954251,5.4348600000000005,288.2598356,84.57,3901.71,25.25,804.55,0.05047,510402.53,0.06287,227708.46,0.00173,9410
2021-05-11 00:00:00,5.56057,397066.38624751096,97.72616,72872.057496974,0.52,15.55,900.09,18267.37,100.11,9957.27,137.57999999999998,5105.35,26.93,2775.58,34.86,66.3,14.02,229.41,18.64,16681.98,29.80462,1246.5037438,68.45615000000001,1199.0731237999998,6.41731,389.9293986,92.55,4243.12,27.13,843.28,0.04198,515301.02599999995,0.06236,189972.28999999998,0.00293,17425
