Unnamed: 0,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,CASH WITHDRAWAL,Unnamed: 34,Unnamed: 35,Unnamed: 36,Settlement Systems,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,Card Network Operated,,,,,,,,,,,,NPCI Operated,,,,CCIL Operated,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,Credit Card,,,,Debit Card,,,,Prepaid Payment Instruments (PPIs) Card,,,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),,Government Securities Clearing,,Forex Clearing,,Rupee Derivatives (for all deals matched during the day),
,,,,,,,,,,,,,,,,,,,,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,at PoS,,at e-Commerce,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2025-05-01 00:00:00,5.45755,128502.90811193599,304.59326,117449.95730886399,0.48,18.9,6270.44,96949.94,171.11,24668.1,106.8,6341.04,34.07,3764.66,136.51,236.9,94.61899,5926.9267965,7.05,10847.64,26.582810000000002,1391.1226967999999,40.1224,3375.3149501999997,21.02277,691.6181716,8.93564,374.2497951,6.28411,15.2627484,1.2472,77.1310069,97.53,4741.45,35.88,1049.58,h,h,h,h,h,h
2025-05-02 00:00:00,11.48058,876911.638763122,333.79662,174000.486142299,0.5700000000000001,22.72,6372.71,100248.07,165.88,25877.73,174.72000000000003,11731.6,110.35,9789.43,125.5,222.29,97.05589,6088.7460763,21.9,28979.32,41.077960000000004,2405.2259909000004,62.285120000000006,5459.0181397,30.03687,1029.2562573,13.385480000000001,595.4740956,5.5649,14.7128605,1.1328500000000001,60.4261946,100.05,4990.1,39.97,1175.96,0.0895,874297.6681898,0.18346,601878.58,0.00524,27885
2025-05-03 00:00:00,9.04553,239779.02498645103,277.62263,102511.44747506801,0.54,21.58,6381.16,95776.08,160.62,23617.27,362.05,11124.73,166.07,12982.86,132.98,229.1,94.42655,5612.0716628,19.16,24652.8,28.887010000000004,1413.3738993,39.586220000000004,3112.8257942,22.70605,661.226583,9.23336,346.8805271,5.954289999999999,15.754304999999999,0.8082,33.9155824,103.65,5106,39.78,1131.65,0.00128,13460.66,0,0,0,0
2025-05-04 00:00:00,1.44778,17683.163988682998,164.98345,23330.624955297,0.59,21.59,6276.41,78825.85,149.25,16166.9,2.9299999999999997,517.2,67.06,5983.12,139.44,235.45,79.52166,4297.0237059,h,h,29.30887,1358.5124853,37.37841999999999,2428.3052761999998,20.92795,571.4962616999999,7.663100000000001,256.0210943,5.13254,15.6765439,0.9057599999999999,35.2272222,92.24,4108.88,36.47,1014.51,h,h,h,h,h,h
2025-05-05 00:00:00,11.57919,747631.02864482,313.42109,154683.211029447,0.5700000000000001,21.29,6295.88,99229.03,167.81,25901.93,334.51,9266.46,299.74,32665.39,126.48,215.37,102.53098,6040.6848613,22.47,25726.91,50.695570000000004,2743.3130475999997,77.09819,6296.601191399999,34.2771,1026.8903802,15.36813,627.0912486999999,3.95507,15.779996799999997,0.85022,32.8584054,99.25,4764.36,42.18,1181.76,0.08691,888108.7724746,0.20148,613820.3899999999,0.00286,24747.2
2025-05-06 00:00:00,10.85583,747252.0812171319,350.76055,150803.816219572,0.58,20.91,6084.19,89592.71,156.56,23654.59,226.14,10094.779999999999,36.86,5819.41,123.57,217.34,94.91356,4984.6699558,20.37,25140.47,30.12697,1622.0590650999998,47.06363,4009.5836384,24.164010000000005,684.3639648000001,10.341909999999999,438.07652790000003,6.46449,16.9714254,0.79511,27.766615599999998,95.86,4586.35,38.9,1047.61,0.10672,905057.8118012,0.227495,624285.81,0.00456,33777.4
2025-05-07 00:00:00,10.49456,715002.8989319659,360.73234,151172.23142126398,0.6,22.139999999999997,6156.02,89345.34,159.53,23269.95,184.51,7305.450000000001,103.17,11479.44,123.63,220.89,93.2762,4775.5354991,18.87,24081,29.76111,1577.7242818000002,44.58306,3754.0481486999997,24.204,691.2377538000001,10.01851,405.2482774,6.34044,19.8057897,0.8105100000000001,28.4939195,100.86,4952.35,41.15,1097.64,0.08212,877976.9543115001,0.173205,540209.92,0.00711,31775
2025-05-08 00:00:00,10.30124,659022.585807343,302.1474,149160.0929628,0.66,24.040000000000003,6220.41,88440.61,156.89,22669.22,323.55999999999995,9774.29,49.02,6043.08,125.92,224.25,93.80514,4804.2640648,18.24,25168.55,30.101909999999997,1581.5572629,44.31487,3674.9959938,24.358050000000002,687.5375311,9.88483,398.24966759999995,6.0727400000000005,17.262345,0.74034,24.8429026,104.17,5046.19,41.58,1144.14,0.10633,920844.7695001,0.166195,502866.69000000006,0.00984,76850
